ticker,tipo,issuer,indexador,taxa_emissao,taxa_negocio_b3,taxa_indicativa_anbima,taxa_mercado,taxa_ativo,taxa_compra,taxa_venda,pu_emissao,pu,pu_mercado,data_ultimo_negocio,data_anbima,volume_negociado_b3,volume_emissao,volume,quantidade_emitida,quantidade,data_emissao,vencimento,emissao,serie,isin,lei,cnpj_emissor,setor,agente_fiduciario,coordenador_lider,rating,rating_original,rating_agencia,agencia,rating_data,divulgacao,securitizadora,flag_vencido,flag_resgatado,flag_b3,status_ativo,duration,ntnb_referencia,taxa_ntnb,incentivada,rating_normalizado,em_recuperacao_judicial,fonte_precificacao,spread
04H0000192,CRI,BVMC,IPCA,12.0,,,,12.0,,,303030.31,303030.31,,,,,20000000.46,20000000.46,66.0,66.0,2004-07-28,2024-07-28,1.0,17.0,,12.431,,Outros Serviços,,,,,,,,,Vórtx,1,1,0,Resgatado,,,,Sim,Sem Rating,Não,Vencido / Sem Precificação,
05J0024381,CRI,BRAZILIAN,IPCA,9.0284,,,,9.0284,,,1501759.46,1501759.46,,,,,1028705230.85,1028705230.85,685.0,685.0,2005-10-11,2025-10-11,1.0,2.0,BRBSCSCRI0W3,12.431,03767538000114,Outros Serviços,,,,,,,,,Oliveira Trust / Isec,1,1,0,Resgatado,,,,Sim,Sem Rating,Não,Vencido / Sem Precificação,
05J0024391,CRI,FII Península,IPCA,9.0284,,,,9.0284,,,375029249.31,375029249.31,,,,,1028705230.85,1028705230.85,2.743,2.743,2005-10-11,2025-10-11,1.0,2.0,BRBSCSCRI0V5,12.431,03767538000114,Outros Serviços,,,,,,,,,Oliveira Trust / Isec,1,1,0,Resgatado,,,,Sim,Sem Rating,Não,Vencido / Sem Precificação,
06H0011389,CRI,BRAZILIAN,IGP-M,12.0,,,,12.0,,,2518573.85,2518573.85,,,,,32741460.09,32741460.09,13.0,13.0,2006-08-13,2016-03-13,1.0,2.0,BRBSCSCRI1H2,12.431,03767538000114,Outros Serviços,,,,,,,,,Oliveira Trust / Isec,1,1,0,Resgatado,,,,Sim,Sem Rating,Não,Vencido / Sem Precificação,
06L0018713,CRI,ACRUX,INPC,11.0,,,,11.0,,,3721106.95,3721106.95,,,,,74422138.98,74422138.98,20.0,20.0,2006-12-20,2009-07-15,1.0,1.0,,12.431,,Outros Serviços,,,,,,,,,Oliveira Trust / Isec,1,1,0,Resgatado,,,,Sim,Sem Rating,Não,Vencido / Sem Precificação,
07F0006633,CRI,Diversificado,TR,16.0,,,,16.0,,,344989.13,344989.13,,,,,99356868.41,99356868.41,288.0,288.0,2019-10-15,2022-03-13,1.0,70.0,BRBSCSCRI1N0,12.431,03767538000114,Outros Serviços,,,,,,,,,Oliveira Trust / Isec,1,1,0,Resgatado,,,,Sim,Sem Rating,Não,Vencido / Sem Precificação,
07F0006634,CRI,BRAZILIAN,IGP-M,12.6825,,,,12.6825,,,6429679.31,6429679.31,,,,,12859358.62,12859358.62,2.0,2.0,2007-05-13,2028-02-13,1.0,2.0,BRBSCSCRI1U5,12.431,03767538000114,Outros Serviços,,,,,,,,,Oliveira Trust / Isec,0,0,0,Ativo,1.35,,,Sim,Sem Rating,Não,Duration Calculada (DU/252),
07F0006635,CRI,Diversificado,IGP-M,11.465,,,,11.465,,,1285935.86,1285935.86,,,,,12859358.62,12859358.62,10.0,10.0,2019-10-15,2028-02-13,1.0,2.0,BRBSCSCRI1T7,12.431,03767538000114,Outros Serviços,,,,,,,,,Oliveira Trust / Isec,0,0,0,Ativo,1.35,,,Sim,Sem Rating,Não,Duration Calculada (DU/252),
07I0012087,CRI,BRAZILIAN,IGP-M,10.846,,,,10.846,,,346632.94,346632.94,,,,,25997470.79,25997470.79,75.0,75.0,2007-09-13,2016-01-13,1.0,2.0,BRBSCSCRI1W1,12.431,03767538000114,Outros Serviços,,,,,,,,,Oliveira Trust / Isec,1,1,0,Resgatado,,,,Sim,Sem Rating,Não,Vencido / Sem Precificação,
07I0012088,CRI,Diversificado,IGP-M,12.0,,,,12.0,,,3249683.85,3249683.85,,,,,25997470.79,25997470.79,8.0,8.0,2019-10-16,2022-05-13,1.0,75.0,BRBSCSCRI1X9,12.431,03767538000114,Outros Serviços,,,,,,,,,Oliveira Trust / Isec,1,1,0,Resgatado,,,,Sim,Sem Rating,Não,Vencido / Sem Precificação,
07L0006224,CRI,Diversificado,IGP-M,11.2617,,,,11.2617,,,1015534.51,1015534.51,,,,,21326224.71,21326224.71,21.0,21.0,2019-10-16,2024-09-13,1.0,78.0,BRBSCSCRI202,12.431,03767538000114,Outros Serviços,,,,,,,,,Oliveira Trust / Isec,1,1,0,Resgatado,,,,Sim,Sem Rating,Não,Vencido / Sem Precificação,
08A0010106,CRI,Diversificado,IGP-M,11.3823,,,,11.3823,,,301314.17,301314.17,,,,,13559137.65,13559137.65,45.0,45.0,2019-10-16,2024-10-13,1.0,85.0,BRBSCSCRI228,12.431,03767538000114,Outros Serviços,,,,,,,,,Oliveira Trust / Isec,1,1,0,Resgatado,,,,Sim,Sem Rating,Não,Vencido / Sem Precificação,
08C0000078,CRI,WTORRE PIC,nan,,,,,,,,,,,,,,,,,,,,2.0,1.0,BRWTPICRI027,12.431,,Outros Serviços,,,,,,,,,WTORRE PIC,1,0,0,Vencido,,,,Sim,Sem Rating,Não,Vencido / Sem Precificação,
08C0013391,CRI,VISION,TR,6.1678,,,,6.1678,,,248270269.2,248270269.2,,,,,248270269.2,248270269.2,1.0,1.0,2008-03-31,2027-01-01,1.0,1.0,BRVSONCRI008,12.431,,Outros Serviços,,,,,,,,,Vórtx,0,0,0,Ativo,0.27,,,Sim,Sem Rating,Não,Duration Calculada (DU/252),
