cnpj,cnpj_formatado,razao_social,nome_fantasia,setor,categoria_cvm,situacao_cvm,site_ri,email,municipio,uf,tipo_emissor,descricao
07047251000170,07.047.251/0001-70,CIA ENERG CEARA - COELCE,CIA ENERG CEARA - COELCE,Crédito Privado,Emissor de Dívida,Ativo,,,,,Emissor de Dívida / Securitizadora,CIA ENERG CEARA - COELCE é emissora de títulos de crédito privado registrados na CVM.
15139629000194,15.139.629/0001-94,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA,Crédito Privado,Emissor de Dívida,Ativo,https://ri.neoenergia.com/,,,,Emissor de Dívida / Securitizadora,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA é emissora de títulos de crédito privado registrados na CVM.
12130744000100,12.130.744/0001-00,True Securitizadora S.A.,True Securitizadora S.A.,Crédito Privado,Emissor de Dívida,Ativo,https://truesecuritizadora.com.br/,,,,Emissor de Dívida / Securitizadora,True Securitizadora S.A. é emissora de títulos de crédito privado registrados na CVM.
01543032000104,01.543.032/0001-04,CELG DISTRIBUIÇÃO S.A. - CELG D,CELG DISTRIBUIÇÃO S.A. - CELG D,Crédito Privado,Emissor de Dívida,Ativo,https://ri.equatorialenergia.com.br/,,,,Emissor de Dívida / Securitizadora,CELG DISTRIBUIÇÃO S.A. - CELG D é emissora de títulos de crédito privado registrados na CVM.
28201130000101,28.201.130/0001-01,ENERGISA TRANSMISSÃO DE ENERGIA S.A.,ENERGISA TRANSMISSÃO DE ENERGIA S.A.,Crédito Privado,Emissor de Dívida,Ativo,http://www.energisa.com.br/,,,,Emissor de Dívida / Securitizadora,ENERGISA TRANSMISSÃO DE ENERGIA S.A. é emissora de títulos de crédito privado registrados na CVM.
40432544000147,40.432.544/0001-47,CLARO S.A.,CLARO S.A.,Crédito Privado,Emissor de Dívida,Ativo,,,,,Emissor de Dívida / Securitizadora,CLARO S.A. é emissora de títulos de crédito privado registrados na CVM.
02773542000122,02.773.542/0001-22,OPEA SECURITIZADORA S.A.,OPEA SECURITIZADORA S.A.,Crédito Privado,Emissor de Dívida,Ativo,https://www.opeacapital.com/,,,,Emissor de Dívida / Securitizadora,OPEA SECURITIZADORA S.A. é emissora de títulos de crédito privado registrados na CVM.
10753164000143,10.753.164/0001-43,ECO SECURITIZADORA DE DIREITOS CREDITORIOS DO AGRONEGOCIO SA,ECO SECURITIZADORA DE DIREITOS CREDITORIOS DO AGRONEGOCIO SA,Crédito Privado,Emissor de Dívida,Ativo,https://www.ecoagro.agr.br/,,,,Emissor de Dívida / Securitizadora,ECO SECURITIZADORA DE DIREITOS CREDITORIOS DO AGRONEGOCIO SA é emissora de títulos de crédito privado registrados na CVM.
18328118000109,18.328.118/0001-09,PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.,PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.,Crédito Privado,Emissor de Dívida,Ativo,https://ri.petz.com.br/,,,,Emissor de Dívida / Securitizadora,PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A. é emissora de títulos de crédito privado registrados na CVM.
45736131000170,45.736.131/0001-70,Unidas Locadora S.A.,Unidas Locadora S.A.,Crédito Privado,Emissor de Dívida,Ativo,,,,,Emissor de Dívida / Securitizadora,Unidas Locadora S.A. é emissora de títulos de crédito privado registrados na CVM.
23670693000125,23.670.693/0001-25,Clinicas do Brasil Holding S/A,Clinicas do Brasil Holding S/A,Crédito Privado,Emissor de Dívida,Ativo,,,,,Emissor de Dívida / Securitizadora,Clinicas do Brasil Holding S/A é emissora de títulos de crédito privado registrados na CVM.
41825390000116,41.825.390/0001-16,VELEIROS HOLDINGS S.A.,VELEIROS HOLDINGS S.A.,Crédito Privado,Emissor de Dívida,Ativo,https://www.aes.com.br,,,,Emissor de Dívida / Securitizadora,VELEIROS HOLDINGS S.A. é emissora de títulos de crédito privado registrados na CVM.
25005683000109,25.005.683/0001-09,VERT COMPANHIA SECURITIZADORA,VERT COMPANHIA SECURITIZADORA,Crédito Privado,Emissor de Dívida,Ativo,https://www.vert-capital.com/,,,,Emissor de Dívida / Securitizadora,VERT COMPANHIA SECURITIZADORA é emissora de títulos de crédito privado registrados na CVM.
11669021000110,11.669.021/0001-10,ENAUTA PARTICIPAÇÕES S.A.,ENAUTA PARTICIPAÇÕES S.A.,Crédito Privado,Emissor de Dívida,Ativo,,,,,Emissor de Dívida / Securitizadora,ENAUTA PARTICIPAÇÕES S.A. é emissora de títulos de crédito privado registrados na CVM.
08769451000108,08.769.451/0001-08,VIRGO COMPANHIA DE SECURITIZAÇÃO,VIRGO COMPANHIA DE SECURITIZAÇÃO,Crédito Privado,Emissor de Dívida,Ativo,https://virgo.inc/,,,,Emissor de Dívida / Securitizadora,VIRGO COMPANHIA DE SECURITIZAÇÃO é emissora de títulos de crédito privado registrados na CVM.
41811375000119,41.811.375/0001-19,CANAL COMPANHIA DE SECURITIZAÇÃO,CANAL COMPANHIA DE SECURITIZAÇÃO,Crédito Privado,Emissor de Dívida,Ativo,https://canalsecuritizadora.com.br/,,,,Emissor de Dívida / Securitizadora,CANAL COMPANHIA DE SECURITIZAÇÃO é emissora de títulos de crédito privado registrados na CVM.
13349677000181,13.349.677/0001-81,REIT SECURITIZADORA DE RECEBIVEIS IMOBILIÁRIOS S/A,REIT SECURITIZADORA DE RECEBIVEIS IMOBILIÁRIOS S/A,Crédito Privado,Emissor de Dívida,Ativo,https://reit.net.br,,,,Emissor de Dívida / Securitizadora,REIT SECURITIZADORA DE RECEBIVEIS IMOBILIÁRIOS S/A é emissora de títulos de crédito privado registrados na CVM.
