date,data_vencimento,taxa_indicativa,taxa_compra,taxa_venda,pu,vencimento_iso,vertice_ano,titulo_nome
2026-01-30,20260815,10.2621,10.274,10.2477,4622.589679,2026-08-15,2026,NTN-B 2026
2026-01-30,20270515,8.42,8.4292,8.405,4527.382621,2027-05-15,2027,NTN-B 2027
2026-01-30,20280815,7.8601,7.875,7.85,4536.526724,2028-08-15,2028,NTN-B 2028
2026-01-30,20290515,7.6769,7.6882,7.6636,4447.483095,2029-05-15,2029,NTN-B 2029
2026-01-30,20300815,7.6696,7.681,7.6589,4448.948172,2030-08-15,2030,NTN-B 2030
2026-01-30,20310515,7.626,7.6393,7.6094,4353.525257,2031-05-15,2031,NTN-B 2031
2026-01-30,20320815,7.6213,7.6321,7.606,4362.132012,2032-08-15,2032,NTN-B 2032
2026-01-30,20330515,7.63,7.6392,7.6161,4261.753553,2033-05-15,2033,NTN-B 2033
2026-01-30,20350515,7.48,7.4942,7.468,4228.708943,2035-05-15,2035,NTN-B 2035
2026-01-30,20370515,7.4663,7.4806,7.4522,4172.884448,2037-05-15,2037,NTN-B 2037
2026-01-30,20400815,7.3741,7.383,7.3554,4191.576813,2040-08-15,2040,NTN-B 2040
2026-01-30,20450515,7.2193,7.2301,7.2026,4105.738901,2045-05-15,2045,NTN-B 2045
2026-01-30,20500815,7.1214,7.135,7.0985,4159.179775,2050-08-15,2050,NTN-B 2050
2026-01-30,20550515,7.078,7.0921,7.0632,4077.553387,2055-05-15,2055,NTN-B 2055
2026-01-30,20600815,7.0905,7.102,7.077,4110.988379,2060-08-15,2060,NTN-B 2060
2026-02-02,20260815,10.267,10.2894,10.2529,4624.967757,2026-08-15,2026,NTN-B 2026
2026-02-02,20270515,8.3819,8.3953,8.3717,4531.459782,2027-05-15,2027,NTN-B 2027
2026-02-02,20280815,7.841,7.8542,7.8286,4540.421518,2028-08-15,2028,NTN-B 2028
2026-02-02,20290515,7.6901,7.7046,7.6807,4447.846004,2029-05-15,2029,NTN-B 2029
2026-02-02,20300815,7.6914,7.7029,7.6798,4447.432598,2030-08-15,2030,NTN-B 2030
2026-02-02,20310515,7.6591,7.6721,7.6444,4349.450644,2031-05-15,2031,NTN-B 2031
2026-02-02,20320815,7.6529,7.6694,7.6404,4357.309963,2032-08-15,2032,NTN-B 2032
2026-02-02,20330515,7.66,7.6753,7.6467,4256.709768,2033-05-15,2033,NTN-B 2033
2026-02-02,20350515,7.51,7.5221,7.4957,4222.291373,2035-05-15,2035,NTN-B 2035
2026-02-02,20370515,7.497,7.5121,7.484,4165.14021,2037-05-15,2037,NTN-B 2037
2026-02-02,20400815,7.4086,7.4218,7.3952,4180.918561,2040-08-15,2040,NTN-B 2040
2026-02-02,20450515,7.253,7.2701,7.2403,4093.3223,2045-05-15,2045,NTN-B 2045
2026-02-02,20500815,7.1577,7.1736,7.1389,4144.019727,2050-08-15,2050,NTN-B 2050
2026-02-02,20550515,7.115,7.1332,7.0994,4060.993905,2055-05-15,2055,NTN-B 2055
2026-02-02,20600815,7.1301,7.1416,7.1167,4092.518454,2060-08-15,2060,NTN-B 2060
2026-02-03,20260815,10.2237,10.24,10.2069,4628.389304,2026-08-15,2026,NTN-B 2026
2026-02-03,20270515,8.31,8.3273,8.2975,4537.256254,2027-05-15,2027,NTN-B 2027
2026-02-03,20280815,7.7918,7.8039,7.7783,4547.230033,2028-08-15,2028,NTN-B 2028
2026-02-03,20290515,7.65,7.6664,7.635,4454.71416,2029-05-15,2029,NTN-B 2029
2026-02-03,20300815,7.65,7.6628,7.6346,4456.032665,2030-08-15,2030,NTN-B 2030
2026-02-03,20310515,7.6088,7.6306,7.5974,4360.489284,2031-05-15,2031,NTN-B 2031
2026-02-03,20320815,7.6149,7.6318,7.6002,4367.352861,2032-08-15,2032,NTN-B 2032
2026-02-03,20330515,7.6327,7.647,7.6175,4264.895368,2033-05-15,2033,NTN-B 2033
2026-02-03,20350515,7.5051,7.5176,7.4949,4225.482632,2035-05-15,2035,NTN-B 2035
2026-02-03,20370515,7.4974,7.5137,7.4845,4166.834423,2037-05-15,2037,NTN-B 2037
2026-02-03,20400815,7.4082,7.4215,7.396,4182.877001,2040-08-15,2040,NTN-B 2040
2026-02-03,20450515,7.2736,7.2879,7.2602,4086.451553,2045-05-15,2045,NTN-B 2045
2026-02-03,20500815,7.1839,7.1968,7.1646,4133.632903,2050-08-15,2050,NTN-B 2050
2026-02-03,20550515,7.1354,7.1529,7.1177,4052.689554,2055-05-15,2055,NTN-B 2055
2026-02-03,20600815,7.15,7.1651,7.1358,4084.1591,2060-08-15,2060,NTN-B 2060
2026-02-04,20260815,10.1917,10.204,10.179,4631.554464,2026-08-15,2026,NTN-B 2026
2026-02-04,20270515,8.2937,8.3075,8.2815,4540.201,2027-05-15,2027,NTN-B 2027
2026-02-04,20280815,7.8161,7.83,7.806,4546.913977,2028-08-15,2028,NTN-B 2028
2026-02-04,20290515,7.687,7.6982,7.6748,4452.174158,2029-05-15,2029,NTN-B 2029
2026-02-04,20300815,7.6902,7.7031,7.6765,4451.572242,2030-08-15,2030,NTN-B 2030
2026-02-04,20310515,7.6504,7.6648,7.6388,4354.875046,2031-05-15,2031,NTN-B 2031
2026-02-04,20320815,7.6518,7.6632,7.6365,4361.404232,2032-08-15,2032,NTN-B 2032
2026-02-04,20330515,7.66,7.674,7.6503,4260.479836,2033-05-15,2033,NTN-B 2033
2026-02-04,20350515,7.5323,7.545,7.5197,4219.857365,2035-05-15,2035,NTN-B 2035
2026-02-04,20370515,7.5298,7.5446,7.515,4158.599725,2037-05-15,2037,NTN-B 2037
2026-02-04,20400815,7.4123,7.4265,7.3987,4183.20938,2040-08-15,2040,NTN-B 2040
2026-02-04,20450515,7.3025,7.3163,7.2927,4076.146355,2045-05-15,2045,NTN-B 2045
2026-02-04,20500815,7.2123,7.2263,7.1981,4122.291755,2050-08-15,2050,NTN-B 2050
2026-02-04,20550515,7.1617,7.177,7.149,4041.547643,2055-05-15,2055,NTN-B 2055
2026-02-04,20600815,7.1702,7.1817,7.1578,4075.696066,2060-08-15,2060,NTN-B 2060
2026-02-05,20260815,10.2496,10.264,10.2331,4632.804158,2026-08-15,2026,NTN-B 2026
2026-02-05,20270515,8.2811,8.2945,8.2695,4542.958113,2027-05-15,2027,NTN-B 2027
2026-02-05,20280815,7.8,7.8155,7.7875,4550.508472,2028-08-15,2028,NTN-B 2028
2026-02-05,20290515,7.67,7.6834,7.6535,4456.218607,2029-05-15,2029,NTN-B 2029
